iteration,best_adapta,JaccarI,JaccarP,SoresP,execution
5,4.0950178495828846e-10,0.4454243265768126,0.37492702457499144,0.5338231796292785,0
10,5.216292981520062e-10,0.6210557207395153,0.48480352755436495,0.6411187904417143,0
15,5.979300314000409e-10,0.6867256894441788,0.5461928510476476,0.6969385764385685,0
20,6.261526005487188e-10,0.7398343837232725,0.6176524798643285,0.7550807018797006,0
25,6.282659065890484e-10,0.7206860629082853,0.5919887462830224,0.7368161604524249,0
30,6.282659065890484e-10,0.7682183659961437,0.6265230326343146,0.7619624425997138,0
35,6.282659065890484e-10,0.7593536504647616,0.6184294373413275,0.7556661248679785,0
40,6.282659065890484e-10,0.7930852686408243,0.671024327352336,0.7955849198881059,0
45,6.282659065890484e-10,0.7733217399884066,0.6386296040362877,0.7719240055403918,0
50,6.282659065890484e-10,0.7575824175824176,0.6201602120528058,0.7570191437445402,0
55,6.282659065890484e-10,0.7738786316564096,0.6396999586028516,0.7732972137407196,0
60,6.282659065890484e-10,0.7744101988546434,0.6356837340694985,0.7690935730531193,0
65,6.282659065890484e-10,0.7444024288468732,0.5971033712884194,0.7379449574158906,0
70,6.282659065890484e-10,0.7806560106560106,0.6457998204014697,0.7744558690120413,0
75,6.282659065890484e-10,0.7500068244512688,0.6095238752302978,0.7508083684852589,0
80,6.282659065890484e-10,0.7464217675328787,0.6116397128084168,0.7518456085369885,0
85,6.282659065890484e-10,0.761803998470665,0.6230508866756558,0.7601387811689739,0
90,6.282659065890484e-10,0.7904086448530891,0.6665718503018866,0.7920181787141215,0
95,6.282659065890484e-10,0.7743068865291088,0.6361754608528488,0.7686407506426322,0
100,6.282659065890484e-10,0.721212244545578,0.5771056928606526,0.7229637431510764,0
105,6.282659065890484e-10,0.773388175610398,0.6420318535677213,0.7755689257435668,0
110,6.282659065890484e-10,0.7807351085128863,0.6492243069287326,0.7804543387192745,0
115,6.282659065890484e-10,0.6999539555095111,0.5448657360893083,0.6910095035467421,0
120,6.282659065890484e-10,0.731935307490863,0.5853727744940117,0.7289168715662036,0
125,6.282659065890484e-10,0.7665371665371664,0.6297998233034341,0.7648401587398393,0
130,6.282659065890484e-10,0.7249975538864428,0.5771303540311166,0.7223455764740545,0
135,6.282659065890484e-10,0.7497019852575407,0.6094457195254764,0.749595841549815,0
140,6.282659065890484e-10,0.7426318948541172,0.6005066570944647,0.7415056574145424,0
145,6.282659065890484e-10,0.7711450689228467,0.6352591428153355,0.7674706003032624,0
150,6.282659065890484e-10,0.761648968315635,0.6197890767262632,0.7561647006702532,0
155,6.282659065890484e-10,0.7304270215381327,0.5874374956934107,0.7304866017382958,0
160,6.282659065890484e-10,0.7385322496433608,0.5936930754840121,0.7354324585902084,0
165,6.282659065890484e-10,0.7524207068651512,0.6171624375689637,0.7548244641002766,0
170,6.282659065890484e-10,0.7336434347545459,0.5859292979468986,0.7303764394702634,0
175,6.282659065890484e-10,0.7526252759586093,0.611311338635767,0.751630439554311,0
180,6.282659065890484e-10,0.768533277422166,0.6356078549506575,0.7702368135449672,0
185,6.282659065890484e-10,0.7629831896498562,0.6240035315827586,0.7597422978208362,0
190,6.282659065890484e-10,0.7490680924014259,0.6057498204506203,0.7469509083926757,0
195,6.282659065890484e-10,0.7815447926559038,0.6490051198741079,0.7801359836679977,0
200,6.282659065890484e-10,0.7734536245647358,0.6380322946018824,0.7710536913931056,0
205,6.282659065890484e-10,0.7777205510538843,0.6419985852235828,0.7743486762641875,0
210,6.282659065890484e-10,0.7309284953729398,0.5872130565403577,0.73048290486605,0
215,6.282659065890484e-10,0.7081500392611504,0.5671997605997471,0.71561153004499,0
220,6.282659065890484e-10,0.7807271329493551,0.6503492485085285,0.7818930860649445,0
225,6.282659065890484e-10,0.7389631356298021,0.6001066005136114,0.7422381755452153,0
230,6.282659065890484e-10,0.7516206838429061,0.6159724600954767,0.7540006030194824,0
235,6.282659065890484e-10,0.7699905033238366,0.6389663439961162,0.772033764748016,0
240,6.282659065890484e-10,0.8032713377157822,0.6785071974984126,0.8020277252522584,0
245,6.282659065890484e-10,0.7857791180013401,0.6609975701383869,0.7895629139284865,0
250,6.282659065890484e-10,0.7603508425730647,0.6229395085264406,0.7613177321102633,0
255,6.282659065890484e-10,0.7762938707383152,0.6452996051161323,0.7778553462520618,0
260,6.282659065890484e-10,0.778869895536562,0.6483238863033542,0.7777899204421421,0
265,6.282659065890484e-10,0.7804351204351203,0.6495746413540736,0.7797821775862873,0
270,6.282659065890484e-10,0.7567282511726956,0.6160372657225027,0.7535318607945157,0
275,6.282659065890484e-10,0.7392799792799793,0.5899982468379642,0.73323384517757,0
280,6.282659065890484e-10,0.7606821162376718,0.6219919164191593,0.7582751638551077,0
285,6.282659065890484e-10,0.7273325439992108,0.5815757802490477,0.7271809652624335,0
290,6.282659065890484e-10,0.7480221835777393,0.6051172228137915,0.7463119301673949,0
295,6.282659065890484e-10,0.7640860374193706,0.6281866337247033,0.7654277301209498,0
300,6.282659065890484e-10,0.7747161891606338,0.6406054517391173,0.7734681354090002,0
305,6.282659065890484e-10,0.7103242025464249,0.5617264581865979,0.7102724135377071,0
310,6.282659065890484e-10,0.769672426339093,0.6329618061974376,0.7662823248102496,0
315,6.282659065890484e-10,0.7714829203718092,0.6413380742605872,0.7748933516785076,0
320,6.282659065890484e-10,0.803681215903438,0.679590593688742,0.8032239173027781,0
325,6.282659065890484e-10,0.7893907738352182,0.6622799939549552,0.7902137743113532,0
330,6.282659065890484e-10,0.7714017669573224,0.635472109846733,0.7689168705222292,0
335,6.282659065890484e-10,0.7812014323125435,0.6507887262335127,0.781312074186389,0
340,6.282659065890484e-10,0.7541716308382973,0.6210056765838924,0.7582050403329147,0
345,6.282659065890484e-10,0.6932924277368722,0.5487916985194927,0.6989456096087372,0
350,6.282659065890484e-10,0.7251959563070673,0.5771060523684777,0.7210283587905311,0
355,6.282659065890484e-10,0.7120691654024988,0.5597490887269093,0.707369040053281,0
360,6.282659065890484e-10,0.7897895931229265,0.6620475726562625,0.788096767328916,0
365,6.282659065890484e-10,0.7513106646439979,0.6206664734297078,0.7590233865160512,0
370,6.282659065890484e-10,0.7367504100837433,0.5960938316032739,0.7382378969532399,0
375,1.7601602616666605e-09,0.5527595698434522,0.5591515326742446,0.706919778337109,0
380,6.592464626048285e-09,0.49505914635219533,0.5634604350195912,0.7127923646967097,0
385,7.681639479016477e-09,0.6764049053159195,0.5351580182628987,0.6810023067495672,0
390,1.0695052488219938e-08,0.7374563347321109,0.6113728380634178,0.7490368432339084,0
395,1.122148072029669e-08,0.7366665286932197,0.6316574767182549,0.7641605824759128,0
400,1.122148072029669e-08,0.6838296474003388,0.5620433113614759,0.7082984198079142,0
405,1.122148072029669e-08,0.7728406850955871,0.635167084959912,0.7665293715054678,0
410,1.122148072029669e-08,0.7152589956769524,0.5979336698738211,0.7390838258658664,0
415,1.1233003007399562e-08,0.697388704728746,0.6119820625023941,0.7495845337449143,0
420,1.1233003007399562e-08,0.7047876526603426,0.5810628733941641,0.7254742316584875,0
425,1.1233003007399562e-08,0.7507558338851144,0.6292284274676975,0.7630415261251464,0
430,1.1536314403176518e-08,0.6219421962900223,0.6609248680459575,0.7876536566017912,0
435,1.1536314403176518e-08,0.7399211209301273,0.6040530922052957,0.741538653319146,0
440,1.1536314403176518e-08,0.6924338351324936,0.5537172246350899,0.7037715404005277,0
445,1.1536314403176518e-08,0.7607176301319749,0.6543260882313319,0.7834636402001558,0
450,1.1536314403176518e-08,0.7561675783518829,0.6257096495526991,0.7560385532882666,0
455,1.1536314403176518e-08,0.7363765114410109,0.5874938127098366,0.7271526142106034,0
460,1.1536314403176518e-08,0.7097214217957252,0.5758999304809592,0.7182587657385072,0
465,1.1538273861887976e-08,0.7037572448469342,0.6338311720895178,0.7653156108988475,0
470,1.1538273861887976e-08,0.7474789585122454,0.616761298306573,0.7542701515003403,0
475,1.1538273861887976e-08,0.7439700684939452,0.6084520929673078,0.7463542693786502,0
480,1.1538273861887976e-08,0.7883130409704199,0.6599023882835388,0.7862661014924818,0
485,1.1538273861887976e-08,0.7463896320050744,0.6112207130010225,0.749226186861405,0
490,1.1538273861887976e-08,0.7788396052926028,0.651935315491322,0.7808029347634919,0
495,1.1538273861887976e-08,0.7466051864658676,0.6244096023078741,0.7598910973586903,0
500,1.1538273861887976e-08,0.7829887155996546,0.655431533295813,0.7821109096712217,0
5,2.511918335485403e-10,0.32464866378497237,0.3327407876659094,0.4893672015986492,1
10,4.405726493021898e-10,0.2913402186188095,0.3396401718475715,0.4968330711477025,1
15,4.565792681840974e-10,0.5083000124687695,0.3979682623543306,0.5581416678304125,1
20,4.565792681840974e-10,0.6413496763388874,0.49045839783578077,0.6441628289000708,1
25,5.013323596349505e-10,0.5672771108788132,0.507068730026083,0.6641786316309127,1
30,5.455486005131289e-10,0.5269234088612078,0.5416336992466251,0.6958595359841265,1
35,5.455486005131289e-10,0.5318953281824558,0.44441508071514924,0.6054108570501714,1
40,5.491209328704024e-10,0.6068597618618626,0.5032920879552151,0.6588064981902847,1
45,5.523662485967025e-10,0.652544303151669,0.5208335142692129,0.6757602582068656,1
50,5.898681820373716e-10,0.6446433491361028,0.5608112633850911,0.7099743672828517,1
55,6.094215879119447e-10,0.6788963101018437,0.5482704374328851,0.6997117257044085,1
60,6.094215879119447e-10,0.7274041534515843,0.5889548527134062,0.7319252995674058,1
65,6.097450778048817e-10,0.6651536706433501,0.5444818366005604,0.6952610359819252,1
70,6.131524443223796e-10,0.6689837033117666,0.5389241334480297,0.6912514682077662,1
75,6.145574276190662e-10,0.5865473215604968,0.578282444894613,0.7226421579797987,1
80,6.145574276190662e-10,0.7241011389430362,0.5869855329028617,0.731942317429715,1
85,6.145574276190662e-10,0.7402014388773283,0.5997024818769787,0.7393315938926159,1
90,6.145574276190662e-10,0.6935109349733855,0.5466744515489249,0.6974509801172857,1
95,6.145574276190662e-10,0.6796291922752178,0.5285422502222038,0.6786557731986098,1
100,6.145574276190662e-10,0.717845726225173,0.5755980269395802,0.7211608472977571,1
105,6.145574276190662e-10,0.6930474444308435,0.5477725899747693,0.696649586067577,1
110,6.145574276190662e-10,0.7037300256470218,0.5566543442351369,0.703315241979209,1
115,6.145574276190662e-10,0.7257058810023236,0.5795220041868369,0.7239210486161471,1
120,6.145574276190662e-10,0.7479267563062029,0.6093991390525608,0.7482206508759983,1
125,6.145574276190662e-10,0.7830439491704312,0.658071772749726,0.7858637194752265,1
130,6.145574276190662e-10,0.7739347550414742,0.6387774074220794,0.7703537270230119,1
135,6.152059617989199e-10,0.6814112135851266,0.5524279786735186,0.7021287295283435,1
140,6.177473069036055e-10,0.5962272305355311,0.5662487273636393,0.7120581429261333,1
145,6.177473069036055e-10,0.709322858211747,0.5623643589163686,0.709676935784961,1
150,6.177473069036055e-10,0.7485060001726669,0.6023855643864707,0.7433428897489951,1
155,6.177473069036055e-10,0.7245104895104896,0.5753124482735096,0.7210882827291163,1
160,6.177473069036055e-10,0.7586555008777232,0.6235314371045981,0.7612818438791688,1
165,6.177473069036055e-10,0.7710645527312194,0.6405839992876126,0.7720453166785246,1
170,6.177473069036055e-10,0.8038479627368517,0.6775277359979561,0.7994694384800753,1
175,6.177473069036055e-10,0.7417319922875477,0.603525252481339,0.7450161300925285,1
180,6.177473069036055e-10,0.7085576974465864,0.5660674446036058,0.7145261364468715,1
185,6.177473069036055e-10,0.7210888083110306,0.5735175248037317,0.7215756237182148,1
190,6.177473069036055e-10,0.76011396011396,0.6200450488184038,0.7576936838714665,1
195,6.177473069036055e-10,0.7643978243978244,0.6311927118858983,0.7655134825497235,1
200,6.177473069036055e-10,0.7616157299490632,0.6214771550015781,0.7584973978437025,1
205,6.177473069036055e-10,0.762974782419227,0.6256378311868839,0.7599307660149122,1
210,6.177473069036055e-10,0.745225659114548,0.6022841028022771,0.7446295258831047,1
215,6.177473069036055e-10,0.7539159605826274,0.6174328574877774,0.7559829936104784,1
